PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,1,Passenger 1,male,40.59936384046622,4,1,264404,28.1,nan,C
2,1,3,Passenger 2,male,36.17005949576698,1,0,307397,15.22,D45,C
3,1,3,Passenger 3,female,36.83569323200477,3,3,579702,86.69,nan,S
4,0,3,Passenger 4,male,16.340442887994655,2,3,518779,198.78,nan,C
5,0,3,Passenger 5,male,42.11943985386401,0,3,205185,43.23,nan,C
6,0,3,Passenger 6,female,32.61250531233856,1,3,136404,137.8,nan,S
7,0,3,Passenger 7,male,26.30722860753797,0,0,155182,42.95,nan,C
8,1,3,Passenger 8,female,31.43388467342251,4,1,395135,147.71,nan,S
9,1,2,Passenger 9,male,12.237647671016802,2,3,728889,106.02,D45,C
10,1,2,Passenger 10,male,34.08652811480671,0,0,803023,139.19,nan,S
11,0,2,Passenger 11,male,19.706284918179286,3,1,952318,48.55,nan,Q
12,1,3,Passenger 12,male,16.473297141564657,2,3,746290,151.67,nan,S
13,1,3,Passenger 13,female,14.77640813782109,3,1,445992,199.17,C23,C
14,0,1,Passenger 14,male,41.12688374989925,0,1,944124,136.47,nan,S
15,0,3,Passenger 15,female,23.707366063072115,2,0,325461,103.76,C23,Q
16,0,3,Passenger 16,male,45.33727709916499,3,1,923932,185.4,nan,Q
17,0,1,Passenger 17,male,24.64198536947702,4,0,920217,13.01,D45,Q
18,0,3,Passenger 18,female,12.926420424070532,4,3,708434,148.69,nan,S
19,0,3,Passenger 19,male,18.83475560051341,0,1,588195,178.86,nan,S
20,0,1,Passenger 20,female,42.35811620006939,2,1,672285,21.72,nan,C
21,1,3,Passenger 21,female,28.441018220633325,1,2,631458,95.51,nan,C
22,0,2,Passenger 22,female,24.517127035093992,2,3,244375,48.9,nan,S
23,0,3,Passenger 23,female,31.600182258527877,4,3,433887,117.64,C23,C
24,0,3,Passenger 24,male,35.01782736167545,3,2,571068,133.41,nan,nan
25,0,3,Passenger 25,male,41.17398815902461,1,2,135187,67.5,E31,S
26,1,2,Passenger 26,male,44.484992298929264,0,0,820394,97.4,D45,S
27,0,3,Passenger 27,female,26.40231354210914,1,0,757253,63.07,nan,C
28,0,3,Passenger 28,female,16.739523139179617,0,1,769113,80.18,D45,C
29,0,2,Passenger 29,male,25.865348388767238,1,1,138090,40.31,nan,S
30,0,3,Passenger 30,female,32.60280506582886,0,1,569984,178.26,nan,S
31,1,1,Passenger 31,male,20.36241073789389,0,1,945844,11.9,B20,nan
32,0,3,Passenger 32,female,20.42849085104957,1,0,877766,177.66,nan,C
33,0,2,Passenger 33,male,33.437878815498856,1,3,418174,118.62,nan,C
34,1,1,Passenger 34,female,29.513476484295488,0,1,641797,73.01,nan,C
35,1,1,Passenger 35,female,30.327969954115865,4,3,168653,147.38,nan,S
36,1,3,Passenger 36,male,22.415046652999305,1,1,792289,106.47,B20,C
37,0,2,Passenger 37,male,27.695992857942326,2,2,491770,104.83,nan,C
38,0,3,Passenger 38,male,20.757668557316954,3,1,366186,30.93,nan,C
39,1,1,Passenger 39,male,38.90198411124787,0,1,293646,84.01,nan,C
40,0,2,Passenger 40,male,40.35249334723753,0,1,399345,55.8,nan,nan
41,0,3,Passenger 41,female,11.538121377619063,3,0,847642,12.98,nan,Q
42,0,3,Passenger 42,female,20.7048913980759,4,2,638304,78.42,nan,C
43,0,2,Passenger 43,female,15.034707449099209,3,1,387166,27.07,nan,C
44,1,3,Passenger 44,male,23.49976065593102,1,1,856322,58.8,nan,C
45,0,3,Passenger 45,female,29.165620302096393,3,3,652226,27.58,E31,C
46,1,3,Passenger 46,female,15.5035478030147,0,2,274750,29.18,nan,C
47,0,2,Passenger 47,male,20.78140186874687,3,1,360710,47.81,C23,S
48,0,1,Passenger 48,female,19.960426279185015,2,3,332320,199.97,C23,C
49,0,3,Passenger 49,female,32.07267329398944,1,3,948152,10.41,D45,C
50,0,1,Passenger 50,male,30.693443370362505,3,0,467658,131.35,D45,C
51,1,3,Passenger 51,male,22.782624466627468,0,3,812165,36.84,nan,S
52,1,3,Passenger 52,male,31.76820872139398,1,1,757346,184.92,nan,Q
53,1,3,Passenger 53,male,24.533199154127345,0,0,176478,27.79,nan,S
54,1,3,Passenger 54,female,27.28344889673947,4,0,505377,191.46,nan,Q
55,0,3,Passenger 55,female,46.734520902985366,2,1,227101,126.08,C23,S
56,1,2,Passenger 56,female,43.40461051790348,4,2,456843,10.24,nan,C
57,0,3,Passenger 57,male,17.004187630724026,2,3,816284,179.86,D45,S
58,0,2,Passenger 58,male,38.29732417879175,3,0,594527,109.13,nan,C
59,0,2,Passenger 59,female,38.11396554491592,1,2,461417,59.91,E31,Q
60,0,3,Passenger 60,female,18.517367112473817,3,1,829668,155.78,nan,S
61,0,3,Passenger 61,male,38.18777643754861,2,3,856488,186.07,nan,Q
62,0,3,Passenger 62,female,45.37931918412553,2,3,688033,101.9,nan,S
63,1,3,Passenger 63,female,18.774551937555863,2,0,232283,69.96,C23,Q
64,0,2,Passenger 64,male,20.824971789857365,0,3,493445,159.9,nan,S
65,0,2,Passenger 65,male,40.17661466843502,1,3,481116,139.54,E31,S
66,0,3,Passenger 66,female,32.71495310825648,3,3,541758,178.86,E31,nan
67,0,2,Passenger 67,male,35.514762752395235,3,3,201489,141.58,D45,S
68,1,1,Passenger 68,male,33.40589216400497,4,1,656107,56.27,nan,S
69,0,2,Passenger 69,male,33.90695920928144,2,2,147779,187.02,D45,S
70,1,2,Passenger 70,male,16.73527871688917,2,1,837781,29.92,C23,C
71,1,2,Passenger 71,female,40.47317706621448,2,1,454388,60.91,nan,C
72,0,2,Passenger 72,female,41.69589992427774,3,0,689872,108.84,nan,S
73,0,1,Passenger 73,male,27.70609255931972,4,3,513166,117.49,nan,nan
74,1,1,Passenger 74,female,29.565230501861375,0,1,770533,12.91,nan,S
75,1,3,Passenger 75,female,14.688924974442779,1,3,348815,158.31,nan,S
76,1,2,Passenger 76,female,35.14254756017835,0,1,944464,78.71,B20,S
77,1,2,Passenger 77,male,35.72057441714144,3,1,477218,87.22,nan,C
78,0,3,Passenger 78,male,29.37808983000689,2,0,461417,163.78,nan,C
79,0,2,Passenger 79,female,41.24353359870503,1,2,914468,82.06,B20,C
80,0,3,Passenger 80,female,26.659227690200595,3,2,354957,18.97,nan,C
81,1,3,Passenger 81,male,35.646059258936006,3,1,695644,43.52,D45,Q
82,1,1,Passenger 82,male,19.803356613078844,3,0,245364,191.62,nan,nan
83,0,2,Passenger 83,male,29.76447849125762,1,3,627340,23.38,nan,S
84,0,3,Passenger 84,female,28.256457420971643,1,3,406521,77.44,nan,Q
85,0,3,Passenger 85,female,32.25307922040942,4,1,298910,105.6,nan,C
86,0,2,Passenger 86,male,26.304730711666416,4,2,429963,103.72,nan,C
87,1,3,Passenger 87,male,28.68527404328332,0,0,246692,10.75,C23,Q
88,1,1,Passenger 88,female,38.26047171441506,1,2,130461,105.22,nan,C
89,1,3,Passenger 89,female,25.632357627617825,1,3,907182,82.92,D45,C
90,0,2,Passenger 90,male,13.934228992613207,1,2,109472,194.7,nan,Q
91,0,3,Passenger 91,female,47.49583904205421,4,3,955695,40.24,nan,C
92,1,3,Passenger 92,female,43.814540786904864,3,0,212036,77.29,nan,S
93,1,3,Passenger 93,male,17.077373048943812,2,0,288674,89.7,nan,C
94,0,3,Passenger 94,female,36.897078052451945,4,1,387667,84.23,C23,C
95,1,2,Passenger 95,male,24.97025229448657,1,1,786126,136.51,B20,C
96,0,1,Passenger 96,female,32.634872153310596,4,2,989694,50.95,C23,C
97,0,2,Passenger 97,female,32.94224129013494,0,0,690348,52.0,nan,S
98,0,1,Passenger 98,female,27.65592199683678,1,0,371223,148.55,nan,S
99,0,3,Passenger 99,female,22.162343344136033,0,1,763759,105.06,nan,Q
100,0,2,Passenger 100,male,23.094589476837406,1,3,422870,88.88,D45,S
101,0,1,Passenger 101,female,20.838080845187577,4,2,455050,42.15,nan,C
102,1,3,Passenger 102,female,21.681777917695552,3,2,378676,45.63,nan,S
103,0,3,Passenger 103,male,29.328217099506446,2,1,575573,12.0,nan,C
104,0,3,Passenger 104,female,22.842400108892484,0,0,143162,27.37,nan,C
105,1,3,Passenger 105,female,36.820520657126195,4,1,373497,115.8,nan,S
106,0,1,Passenger 106,male,44.87246155335927,3,1,212313,179.46,nan,S
107,0,2,Passenger 107,female,24.19946758629957,4,1,128477,64.56,D45,S
108,1,3,Passenger 108,female,32.39404500535377,0,1,779930,72.27,E31,C
109,0,3,Passenger 109,male,34.996851103029336,2,3,186373,31.97,nan,C
110,0,1,Passenger 110,female,34.72002270919275,4,3,793464,83.84,nan,nan
111,0,3,Passenger 111,male,30.759552679160873,1,0,818730,17.07,nan,C
112,0,2,Passenger 112,male,37.426824183597226,3,1,628839,184.34,B20,C
113,1,2,Passenger 113,male,34.82248952680657,4,3,168359,137.89,B20,C
114,1,3,Passenger 114,female,17.623375776727023,3,0,548096,198.24,E31,C
115,1,3,Passenger 115,female,38.69156064389273,1,1,243988,177.74,C23,C
116,1,3,Passenger 116,male,38.872908372667425,2,2,226150,99.87,nan,Q
117,1,1,Passenger 117,male,22.367138958214184,2,3,573919,108.74,D45,Q
118,0,3,Passenger 118,female,30.37937835447602,1,0,796805,46.21,nan,S
119,1,2,Passenger 119,male,36.833289928110695,3,2,409780,97.79,nan,C
120,0,1,Passenger 120,female,27.906861804206386,4,1,567143,181.58,C23,C
121,1,3,Passenger 121,female,40.729780477660114,1,1,916117,19.66,nan,Q
122,1,3,Passenger 122,female,53.638724946193605,0,1,937566,174.08,nan,S
123,0,3,Passenger 123,female,22.140139673650175,3,3,451060,74.78,nan,Q
124,0,3,Passenger 124,male,16.18955396846225,2,0,207967,180.91,nan,S
125,0,3,Passenger 125,female,33.03818595604876,1,2,194455,188.77,D45,C
126,0,3,Passenger 126,female,37.21562505126143,2,0,883123,137.46,nan,S
127,1,1,Passenger 127,female,27.69133626155231,3,3,561063,136.24,nan,Q
128,1,2,Passenger 128,male,44.53260663321034,2,0,275405,96.02,nan,C
129,0,2,Passenger 129,female,16.613942002767512,1,3,339646,168.75,nan,S
130,0,2,Passenger 130,male,36.92918623031611,3,1,289937,192.71,nan,S
131,0,3,Passenger 131,male,23.941391792411068,0,2,572312,157.27,nan,C
132,0,2,Passenger 132,male,47.19377906207296,1,1,936188,128.17,nan,C
133,0,1,Passenger 133,female,49.92515353168118,4,0,485007,125.29,C23,C
134,0,2,Passenger 134,female,22.333434122166523,1,1,161192,171.4,B20,S
135,1,3,Passenger 135,female,24.5044286409142,3,2,291758,112.83,nan,C
136,0,1,Passenger 136,female,38.59587886979802,1,1,935165,162.73,nan,C
137,0,3,Passenger 137,male,26.128693502104852,0,2,335161,106.69,nan,C
138,1,2,Passenger 138,female,29.545887820677617,0,2,912425,21.86,D45,S
139,0,2,Passenger 139,male,30.2538842054241,4,1,785852,82.95,nan,S
140,1,3,Passenger 140,female,10.803268438023437,2,3,776341,94.44,D45,S
141,1,3,Passenger 141,female,29.861622539057628,3,0,386287,36.91,D45,C
142,0,2,Passenger 142,female,23.10272225935826,3,3,815637,29.47,E31,S
143,0,3,Passenger 143,female,25.06877177600228,2,3,207044,111.74,E31,S
144,0,3,Passenger 144,male,44.43632003468814,0,1,605173,26.18,nan,S
145,0,2,Passenger 145,male,17.434931057207436,0,0,281062,67.56,nan,Q
146,0,3,Passenger 146,female,38.132051867479774,1,0,752694,151.47,B20,Q
147,1,3,Passenger 147,male,27.210370696681913,4,3,556104,193.24,nan,S
148,0,3,Passenger 148,male,27.202398315041656,4,1,169351,146.4,nan,C
149,0,3,Passenger 149,male,37.90371896051711,4,0,590588,198.6,nan,Q
150,0,3,Passenger 150,female,33.4005129456889,1,3,805359,142.68,nan,S
151,1,3,Passenger 151,male,35.70612997219531,4,0,334085,65.82,D45,S
